Seller ID,Category ID,Number of Ads Posted,Number of Buyers Who Viewed the Ads
76006,2,1,60
50393,7,1,51
74668,6,1,65
92152,8,1,56
43060,8,1,75
90080,5,1,62
3838,7,8,17
86058,2,1,63
25338,6,1,24
105052,5,1,56
47223,9,1,91
94695,4,1,72
119905,5,1,2
97230,8,1,36
93662,4,1,46
21123,3,3,241
112777,4,1,45
114843,5,1,58
102310,7,1,38
31526,6,1,24
48362,13,1,14
104100,4,1,79
4240,11,8,433
118993,5,1,70
75121,5,1,71
46052,2,1,81
74162,5,1,83
65633,2,1,89
72461,11,1,73
2528,2,10,316
89655,5,1,53
17330,6,2,83
18796,7,3,293
62791,11,1,44
83792,7,1,92
17123,7,3,287
20077,13,3,78
12604,4,4,353
51571,11,1,1
5326,8,4,144
106053,10,1,8
3235,11,1,52
17959,11,1,57
112916,1,1,66
91007,5,1,60
14846,4,3,229
11384,6,4,286
73121,5,1,43
92925,3,1,37
5991,4,6,263
14538,2,3,170
70199,6,1,16
18169,7,3,46
35255,10,2,116
80318,8,1,29
104955,7,1,64
6694,3,1,57
12182,5,4,120
105219,5,1,12
21829,11,1,57
96234,2,1,75
17394,4,3,193
109078,13,1,71
59230,7,1,11
73906,8,1,50
87032,3,1,49
83537,2,1,62
107402,5,1,75
75037,8,1,69
74160,8,1,61
50566,4,1,37
34200,7,2,150
47956,11,1,34
116411,4,1,27
73647,2,1,67
7409,7,6,184
62723,4,1,92
88107,13,1,56
97444,13,1,63
69184,11,1,66
29597,11,2,165
1939,1,13,227
8698,7,5,454
30328,6,1,92
24480,3,1,59
78815,6,1,51
16275,2,1,35
98023,5,1,36
73572,6,1,25
118364,5,1,18
16838,4,2,98
52858,1,1,15
87087,6,1,65
362,2,70,6153
22981,1,2,125
57480,3,1,17
21500,3,2,78
110892,7,1,65
8967,11,1,28
76995,5,1,52
120809,2,1,58
17532,7,3,167
37354,7,2,143
44348,5,1,15
33272,11,1,56
100940,1,1,37
89327,2,1,22
13743,1,1,92
104931,5,1,79
46952,4,1,77
43060,7,1,86
70018,2,1,43
35618,2,2,164
113771,6,1,66
36117,7,2,152
32006,9,1,21
78782,6,1,38
50953,3,1,67
38188,7,2,20
5490,6,1,78
106568,7,1,74
85836,5,1,24
5859,8,2,93
107281,2,1,57
38207,8,2,169
108419,13,1,23
4135,11,2,52
22733,4,2,50
67213,4,1,9
81018,4,1,42
72848,1,1,82
11350,7,4,248
87322,5,1,5
86754,3,1,16
93731,1,1,77
27963,6,1,10
64280,4,1,94
13605,7,4,66
111002,5,1,92
15099,13,3,110
11469,5,4,329
27922,4,1,69
18782,11,1,1
43614,6,1,62
57544,4,1,57
5950,13,5,17
26723,1,2,33
42588,1,1,52
20375,6,3,295
37094,8,2,49
54314,13,1,91
46019,6,1,36
38027,1,2,96
119032,7,1,55
14473,11,2,96
104994,4,1,96
11227,3,4,93
26698,7,2,103
4396,4,8,735
63397,11,1,57
75793,7,1,57
3780,4,9,161
38380,7,1,82
31648,5,1,40
8653,7,5,272
97783,6,1,43
69433,11,1,68
74478,13,1,78
53102,1,1,10
33755,4,2,40
106092,6,1,44
63784,1,1,89
117407,11,1,43
41751,11,1,80
85397,1,1,43
45534,1,1,34
102516,11,1,59
83543,7,1,63
38684,4,2,193
11967,8,4,145
6223,11,1,71
117979,7,1,70
80444,4,1,87
104164,5,1,83
113438,5,1,69
18567,11,2,121
106598,1,1,9
101493,1,1,60
11125,5,1,90
113429,10,1,19
103742,6,1,85
113119,7,1,76
40908,5,1,48
113469,1,1,42
112573,4,1,87
17716,5,3,117
98711,11,1,42
41890,4,1,32
38164,5,2,114
60161,4,1,62
87637,7,1,18
107372,4,1,50
107162,7,1,60
69353,7,1,17
109679,5,1,41
122095,6,1,14
51731,7,1,70
85119,7,1,56
46328,7,1,9
94857,4,1,43
100953,4,1,67
4059,11,2,11
28363,5,2,144
97499,10,1,63
28848,4,2,142
122606,6,1,81
79345,4,1,50
100890,5,1,59
71961,4,1,28
45373,7,1,12
60364,5,1,81
38247,4,2,122
97532,7,1,6
71284,5,1,59
16155,6,3,35
18667,4,3,66
71894,6,1,1
21161,7,1,40
43464,5,1,3
48081,8,1,13
95113,5,1,9
87261,11,1,86
63237,2,1,61
89261,2,1,95
5084,8,7,22
47249,4,1,68
104816,11,1,48
62912,11,1,2
71884,1,1,62
11424,4,4,51
35225,6,1,81
120033,3,1,39
6119,7,6,211
111120,7,1,31
90319,5,1,46
8666,1,1,81
50754,4,1,99
120401,6,1,10
42116,6,1,52
25763,4,2,165
24768,11,2,133
14318,4,1,59
41488,1,1,83
18322,1,3,80
8430,6,1,80
80583,4,1,17
4830,7,7,286
102861,12,1,40
37440,1,2,28
93463,5,1,4
11982,10,1,40
64952,11,1,41
651,1,39,2254
68056,1,1,6
37872,6,2,40
58084,11,1,32
24696,1,2,193
28195,7,2,154
12602,4,3,52
71074,1,1,42
51620,7,1,35
84935,10,1,7
794,1,31,1859
88756,5,1,67
72164,12,1,73
51901,3,1,25
67741,7,1,34
6711,4,1,84
51599,1,1,27
57038,5,1,75
51358,4,1,79
92948,7,1,1
28719,6,1,4
22939,13,2,147
98795,6,1,32
30140,11,1,48
10722,3,1,73
64007,1,1,65
9604,6,1,39
47635,7,1,50
44860,7,1,83
25267,4,1,94
14743,4,3,5
35710,7,1,33
29606,4,1,64
18652,7,3,189
48563,7,1,8
41106,1,1,37
55446,4,1,78
95998,11,1,26
9370,7,1,38
105013,5,1,28
67062,7,1,8
47797,7,1,45
60760,14,1,90
28211,1,2,59
10703,7,4,334
25353,7,2,90
71981,3,1,54
79580,7,1,87
111566,1,1,59
41075,7,1,77
1724,3,15,769
43091,10,1,21
38329,11,1,13
69742,4,1,5
96999,5,1,18
85057,3,1,47
90882,3,1,29
22214,7,2,168
12044,7,4,270
114654,6,1,38
110763,6,1,6
64297,11,1,54
87288,5,1,88
31733,5,2,83
63077,4,1,32
13280,7,4,274
55666,4,1,14
76128,6,1,100
30139,4,2,67
81530,5,1,79
30342,13,1,97
48052,7,1,14
10423,10,4,366
83755,3,1,81
94095,2,1,87
85909,7,1,35
76013,6,1,65
15349,1,3,20
99950,5,1,96
14092,4,2,11
17583,5,1,75
14714,5,3,149
74969,13,1,17
24463,2,2,116
36749,6,2,55
94174,2,1,88
52970,10,1,67
107341,5,1,6
16611,4,3,14
100361,5,1,95
109807,2,1,6
117637,5,1,88
84317,3,1,91
94686,6,1,55
21313,5,1,84
78506,6,1,74
92934,5,1,14
1376,4,3,87
67566,5,1,41
238,3,28,2596
18462,6,1,48
96779,3,1,28
48192,7,1,44
79160,1,1,14
84505,5,1,20
90465,4,1,68
74146,13,1,78
72402,3,1,35
116063,5,1,32
19856,4,3,146
84315,5,1,51
61862,3,1,7
87060,5,1,86
80742,1,1,34
77561,11,1,19
10374,5,4,313
20970,2,3,208
46138,7,1,58
39544,7,2,135
115348,4,1,21
40423,4,1,99
20670,6,3,17
4095,4,1,42
5878,13,6,278
31936,1,2,127
42550,5,1,1
41415,6,1,98
3176,2,10,829
41960,5,1,52
11889,5,4,85
88088,6,1,81
107789,4,1,31
79096,4,1,90
35168,4,2,162
57672,2,1,23
33699,5,2,71
22274,11,2,20
29216,6,1,100
38337,7,2,172
118383,7,1,48
45278,6,1,3
12921,5,4,65
72975,3,1,48
20575,7,2,20
13396,6,4,137
108270,8,1,1
95230,1,1,30
86913,3,1,14
19068,5,1,99
103158,4,1,48
82573,11,1,16
77795,5,1,82
69815,7,1,52
70026,10,1,40
43466,11,1,32
84295,5,1,9
74172,3,1,56
121923,4,1,38
54487,5,1,93
11266,2,1,44
94598,5,1,4
73524,5,1,94
92974,3,1,54
44332,2,1,26
718,3,35,1486
74252,13,1,14
15612,8,1,59
66052,8,1,58
69335,11,1,99
47378,1,1,63
96953,6,1,89
96303,5,1,66
103989,1,1,68
28344,13,2,58
112121,7,1,19
45372,5,1,32
30857,2,1,64
94019,5,1,4
39680,1,2,108
1091,7,1,88
10162,6,4,137
44733,2,1,97
36204,10,2,151
82782,6,1,57
43566,13,1,25
22434,3,1,66
39440,8,2,20
118017,5,1,40
70003,10,1,50
50265,3,1,46
55111,7,1,57
81108,7,1,11
54111,11,1,53
87293,4,1,63
38217,7,2,107
61354,1,1,38
33887,2,2,165
25223,5,2,198
2224,13,2,60
110607,1,1,9
5211,2,4,83
50744,11,1,56
48565,7,1,34
25167,3,2,165
57028,2,1,7
20187,4,3,4
6841,7,6,50
11329,5,4,365
51708,11,1,66
4201,4,8,481
28574,7,2,129
25943,10,2,145
85422,6,1,49
114752,4,1,59
46124,10,1,50
41446,1,1,84
101547,2,1,62
113967,2,1,20
10294,7,4,172
111242,11,1,69
63346,11,1,59
14842,2,3,237
13005,1,1,31
111884,10,1,12
96345,4,1,27
23257,4,2,38
116158,7,1,29
43668,5,1,47
66168,1,1,27
110075,10,1,84
40258,14,1,28
84356,3,1,70
45780,1,1,26
31651,1,2,62
3147,3,10,987
94521,3,1,30
30157,4,1,60
92968,5,1,3
93820,7,1,26
24099,7,2,22
155,2,156,8674
97007,6,1,35
39075,7,2,168
89924,4,1,23
34453,6,1,88
96333,6,1,13
37417,8,2,171
72542,2,1,94
30499,11,2,2
117621,7,1,80
41369,5,1,54
118783,4,1,63
74876,5,1,55
111386,11,1,47
10147,4,4,269
57533,3,1,76
32446,13,1,80
64834,5,1,95
18630,8,1,33
3715,6,9,493
50588,1,1,73
83282,5,1,21
78521,2,1,16
93902,5,1,56
89399,5,1,45
30107,3,1,86
25033,10,2,143
27818,4,2,174
22990,7,2,1
72952,3,1,19
28995,13,2,2
36027,6,2,37
11684,3,2,112
18310,2,3,278
17453,5,1,42
108722,2,1,68
79471,2,1,62
57537,11,1,67
35164,6,2,41
46720,2,1,95
21551,7,2,140
22114,5,1,72
102305,3,1,32
28404,6,1,71
64863,5,1,91
14429,13,1,59
4054,13,8,413
73041,7,1,63
120779,5,1,77
85935,5,1,20
71593,13,1,51
105469,11,1,53
104152,5,1,69
118708,1,1,97
90015,1,1,74
14788,6,1,25
67717,11,1,68
12458,4,4,294
51079,11,1,63
59624,4,1,76
57624,11,1,50
1120,3,22,946
4385,6,8,578
112285,4,1,91
52127,1,1,33
61785,1,1,26
89097,12,1,40
79792,3,1,69
16573,7,3,225
71413,4,1,69
14503,7,3,141
49516,7,1,62
116356,6,1,4
39057,14,1,95
13639,4,4,250
24345,3,2,78
102762,4,1,87
94990,5,1,40
12174,5,1,5
104936,1,1,91
26399,3,1,22
106168,5,1,40
16956,8,3,156
46752,5,1,68
86785,13,1,50
103013,11,1,28
89409,6,1,53
67759,12,1,5
78956,7,1,92
91677,7,1,64
14107,5,3,126
111117,10,1,50
32235,5,2,27
114270,3,1,87
20064,1,3,299
64580,4,1,42
106250,12,1,75
80078,1,1,19
70917,8,1,76
113782,4,1,88
99826,4,1,90
73518,5,1,55
49794,10,1,81
58503,5,1,97
10248,5,4,84
111387,7,1,41
120509,6,1,62
78264,13,1,35
72176,7,1,94
5630,8,1,13
77306,5,1,76
76841,6,1,24
54622,6,1,52
17881,2,1,69
90724,5,1,5
12537,6,2,40
60600,7,1,2
103763,1,1,38
106241,1,1,63
97761,10,1,61
60158,7,1,70
54212,6,1,55
35066,13,2,7
66918,5,1,42
62168,1,1,91
50507,7,1,18
13702,4,1,62
104568,11,1,71
54805,2,1,63
20058,7,3,192
3505,13,9,390
34255,11,1,62
117977,5,1,86
118559,7,1,54
103367,12,1,91
3161,1,10,335
2205,4,12,33
15762,7,1,63
76301,4,1,32
7941,5,5,342
36703,1,2,114
93380,8,1,19
65094,5,1,22
36360,3,1,87
52901,1,1,100
20553,2,1,7
29549,10,2,40
75465,1,1,74
22611,13,2,136
19263,6,1,66
72327,7,1,52
60116,5,1,76
49459,8,1,51
88286,5,1,43
24902,1,2,182
115169,12,1,3
117357,5,1,65
22559,10,2,166
25239,4,2,14
92958,4,1,23
81097,5,1,64
25780,11,2,31
19776,10,1,25
31327,13,2,120
28160,4,1,91
81368,10,1,35
99336,2,1,70
99202,1,1,10
118971,5,1,84
24682,3,2,12
80379,3,1,20
2931,3,10,274
33221,5,2,161
52917,1,1,29
24003,13,1,52
31084,6,2,37
111815,8,1,48
5663,7,1,93
21411,13,1,21
13620,2,4,148
41817,4,1,57
6449,5,1,100
44868,7,1,99
49356,11,1,90
78997,5,1,25
120667,6,1,69
20403,4,1,45
108875,6,1,10
53763,2,1,91
27657,6,1,29
4555,13,1,6
120354,7,1,31
7520,13,1,8
10175,3,4,278
65161,4,1,90
4423,5,1,22
39229,7,2,173
82162,1,1,82
23527,3,2,65
100639,1,1,97
96995,5,1,92
88282,5,1,5
37327,13,1,65
121950,3,1,70
2707,2,10,972
22427,4,2,61
3108,10,10,657
103239,1,1,79
26734,1,2,38
103273,7,1,98
20073,11,1,78
98338,11,1,62
42120,11,1,20
67595,7,1,49
70557,2,1,96
16804,8,3,185
86622,4,1,96
10221,11,4,387
113437,6,1,9
86922,7,1,28
87588,4,1,98
29481,13,1,37
29891,7,2,185
91130,4,1,12
70172,1,1,36
33679,2,1,36
20142,3,3,273
34859,7,2,52
52616,5,1,24
8251,13,1,43
47316,7,1,37
297,1,85,7100
35774,7,2,171
89550,6,1,11
67324,6,1,66
36175,5,2,68
65389,5,1,89
49684,1,1,64
6834,13,2,139
108484,3,1,58
40365,4,1,76
46598,5,1,100
97317,1,1,1
25306,5,2,109
1447,5,17,877
8378,7,5,63
110199,2,1,77
31256,5,2,53
44409,5,1,78
28021,5,2,178
15808,6,3,199
50864,4,1,40
74242,8,1,34
84068,2,1,69
60348,7,1,46
67950,2,1,44
118760,4,1,72
5037,7,7,231
112242,7,1,94
122222,4,1,81
46383,3,1,41
40618,2,1,44
19728,5,3,220
34042,8,1,14
116786,9,1,5
32838,7,2,170
53122,7,1,6
55932,4,1,82
2967,13,3,64
38250,2,1,78
84293,1,1,40
99710,7,1,30
82379,5,1,42
92080,5,1,19
69748,7,1,82
83195,2,1,37
83276,11,1,44
33732,3,2,118
31485,13,2,182
46113,5,1,68
17630,4,3,145
41485,4,1,30
76317,4,1,6
11311,4,4,120
33411,10,1,35
42119,1,1,69
33101,2,2,91
81762,7,1,42
108323,5,1,52
12057,6,1,55
79964,12,1,17
109373,4,1,68
33826,3,1,68
41611,5,1,88
41512,5,1,51
57809,4,1,64
79037,5,1,52
8106,7,4,323
41720,1,1,77
32445,5,2,121
92416,5,1,2
81508,3,1,52
41712,13,1,17
107039,1,1,38
67849,7,1,69
36790,4,2,115
77807,5,1,87
17222,11,3,274
29758,11,2,22
70032,1,1,97
32430,11,2,157
121142,1,1,26
24983,4,2,5
122099,2,1,21
5422,2,7,532
7856,8,1,73
30174,10,1,8
57973,4,1,62
67896,6,1,59
91251,3,1,48
100555,4,1,11
54543,3,1,68
37687,5,2,18
8123,8,3,180
111168,4,1,90
24528,5,2,79
100813,6,1,45
11472,7,4,63
26305,2,2,37
48002,4,1,91
29221,3,2,184
15584,7,3,170
7488,4,5,264
94834,2,1,19
21467,4,2,76
12232,4,4,224
17997,5,2,42
7241,11,2,170
5055,8,7,618
28066,1,2,134
54627,7,1,10
88303,11,1,89
4569,5,4,116
32541,4,1,20
55334,1,1,62
9372,3,5,153
4713,13,1,71
106492,14,1,40
44462,11,1,55
45433,5,1,22
22669,3,2,16
1716,5,15,1403
37778,6,2,189
73877,7,1,90
62841,10,1,36
17699,4,3,63
5650,13,1,39
32541,6,2,167
86902,7,1,9
40868,8,1,76
79163,4,1,48
34985,7,1,43
45706,1,1,3
86801,4,1,66
26435,7,2,160
17116,2,1,84
7635,2,1,20
77260,1,1,10
6812,7,6,96
93137,3,1,36
122467,2,1,60
14096,7,1,30
89237,10,1,57
64244,5,1,51
48804,13,1,15
52810,1,1,99
60706,5,1,34
43669,1,1,6
102261,11,1,69
69572,5,1,42
102571,7,1,87
12789,3,4,141
113034,12,1,28
81135,4,1,32
115159,7,1,23
26194,1,1,16
6102,4,6,221
26251,5,2,74
59762,12,1,19
107932,13,1,78
99768,4,1,99
84872,7,1,27
18465,4,3,138
5175,3,7,85
71932,7,1,16
13624,7,4,275
7080,2,5,392
43941,7,1,91
75832,1,1,58
28596,5,2,126
73660,5,1,57
64077,4,1,45
38075,5,2,92
100988,5,1,81
113073,4,1,98
118300,1,1,25
48797,1,1,80
70021,1,1,76
20563,7,1,89
92979,3,1,62
22316,10,2,83
97413,4,1,13
53562,5,1,89
95037,7,1,42
3057,2,10,56
100614,2,1,20
59747,4,1,75
103382,5,1,78
77767,5,1,92
112836,11,1,14
71205,3,1,6
17396,13,1,22
49100,7,1,14
9216,7,3,123
16626,11,3,185
12167,1,1,84
28942,4,2,125
60282,1,1,88
85751,4,1,86
116894,7,1,59
109624,6,1,4
70965,5,1,83
91645,6,1,53
74374,4,1,82
40300,4,1,33
10276,7,4,182
36704,11,2,125
89408,1,1,99
82753,4,1,50
97534,1,1,63
9154,11,5,481
14686,13,3,52
929,1,27,62
73689,5,1,100
21422,11,2,9
4373,2,3,94
80552,1,1,45
94118,10,1,69
98603,5,1,50
24732,4,2,173
31063,8,1,88
28787,6,2,2
83620,11,1,7
49828,10,1,43
6983,13,2,59
78492,5,1,41
11130,8,2,59
14405,7,2,125
3128,7,10,798
39962,8,1,51
37043,7,2,157
22967,4,2,104
81377,3,1,55
82576,11,1,28
5078,6,1,76
